outcome_category,reference_category,term,estimate,standard_error,z_value,p_value,relative_risk_ratio,confidence_low,confidence_high
AI initial feedback; universal human review,Human-led grading; AI support,(Intercept),-2.551929457380832,0.6550968349384384,-3.895499598346625,9.799652456827585e-5,0.07793115600238684,0.021581999671829367,0.28140418720308336
AI initial feedback; universal human review,Human-led grading; AI support,ai_usefulness_score,0.7609323429091349,0.20986644683436023,3.6257932336830883,2.880757929485602e-4,2.1402707568201884,1.4185023976693554,3.2292923297316904
AI initial feedback; universal human review,Human-led grading; AI support,feedback_experience_half_point,-0.3115082177131514,0.20983346217356275,-1.4845497685945288,0.13766313016550805,0.7323415923075071,0.4854037567022859,1.104903290133455
AI-led feedback; disputed-only human review,Human-led grading; AI support,(Intercept),-6.3304753238678995,1.443728866617298,-4.384808997204857,1.160875920212727e-5,0.0017811869271956644,1.0514902736036681e-4,0.030172669679002406
AI-led feedback; disputed-only human review,Human-led grading; AI support,ai_usefulness_score,1.645797891508847,0.40114440735704565,4.102756666488872,4.082565586102006e-5,5.1851454403946216,2.3621431007056177,11.381923995211741
AI-led feedback; disputed-only human review,Human-led grading; AI support,feedback_experience_half_point,0.9609174780155362,0.6850143098699668,1.402769933664514,0.16068545545746488,2.6140937470755117,0.6827094597845854,10.009361992223528
No preference,Human-led grading; AI support,(Intercept),-1.3617132346226464,0.5445829126895231,-2.5004699980349634,0.012402863794714725,0.2562214332810617,0.0881182047458231,0.7450154376381957
No preference,Human-led grading; AI support,ai_usefulness_score,0.20061774111564643,0.19382041324327273,1.035070237229564,0.30063611087605846,1.2221575019567856,0.8358857914651318,1.7869294762998225
No preference,Human-led grading; AI support,feedback_experience_half_point,0.6758583758433002,0.445300327280235,1.5177585428046882,0.12907527972477387,1.965719578197611,0.8212610715540312,4.705024497018517
