preferred_model,n,percent,valid_n
Human-led grading; AI support,66,39.053254437869825,169
AI initial feedback; universal human review,45,26.62721893491124,169
AI-led feedback; disputed-only human review,28,16.568047337278106,169
No preference,30,17.75147928994083,169
