model,n,number_of_parameters,log_likelihood,AIC,BIC,convergence_code,maximum_absolute_coefficient,maximum_standard_error,hessian_condition_number
Reduced usefulness-only model,169,6,-203.45186517016484,418.9037303403297,437.68312262986814,0,6.505136672124119,1.4407437802164293,1062.3616408176547
Reduced feedback-only model,169,6,-216.38880844943435,444.7776168988687,463.55700918840716,0,1.627444343095838,0.7832576210321628,25.81171584098219
Usefulness-and-feedback model,169,9,-197.77852387602155,413.5570477520431,441.72613618635074,0,6.3304753238678995,1.443728866617298,1010.2812631334862
