preferred_model,n,valid_n,percent,n_percent
Human grades; AI supports,66,169,39.1,66 (39.1%)
AI drafts; human reviews every submission,45,169,26.6,45 (26.6%)
AI provides feedback; human reviews disputes,28,169,16.6,28 (16.6%)
No preference,30,169,17.8,30 (17.8%)
