contrast,log_scale_change,latent_scale_multiplier,percent_change_in_latent_scale
One-category increase in AI awareness,0.2581709867179622,1.294560152292785,29.4560152292785
Two-category increase: fully aware versus not aware,0.5163419734359244,1.6758859879043184,67.58859879043185
