feedback_experience,n,percent
2.25,2,1.1764705882352942
3,1,0.5882352941176471
3.75,2,1.1764705882352942
4,8,4.705882352941177
4.25,10,5.882352941176471
4.5,8,4.705882352941177
4.75,18,10.588235294117647
5,121,71.17647058823529
