model,n,number_of_parameters,log_likelihood,AIC,BIC,maximum_absolute_gradient,hessian_condition_number,link,delta_AIC,delta_BIC
Benchmark proportional-odds model,170,9,-195.4088121581535,408.817624316307,437.03981024975934,1.033233115732557e-8,178.69988719118768,logit,2.4879770277971147,0
Final linear awareness-scale model,170,10,-193.16482364425494,406.3296472885099,437.6876316590125,3.270287629586477e-8,1301.3162780782527,logit,0,0.6478214092531402
Factor-coded awareness-scale sensitivity model,170,11,-193.1626347437378,408.3252694874756,442.8190522950285,5.092976229637003e-8,359.15845537527036,logit,1.9956221989657479,5.779242045269143
