model,no.par,AIC,logLik,LR.stat,df,Pr(>Chisq)
model_awareness_scale,10,406.3296472885099,-193.16482364425494,,,
model_awareness_scale_factor,11,408.3252694874756,-193.1626347437378,0.004377801034252116,1,0.9472464988887911
