model,no.par,AIC,logLik,LR.stat,df,Pr(>Chisq)
model_primary,9,408.817624316307,-195.4088121581535,,,
model_awareness_scale,10,406.3296472885099,-193.16482364425494,4.487977027797115,1,0.0341340472403516
