parameter,Estimate,Std. Error,z value,Pr(>|z|)
Strongly.disagree.Somewhat.disagree,0.9416850836254288,0.8973592383451752,1.0493958755715216,0.29399595568143716
Somewhat.disagree.Neither.agree.nor.disagree,5.8307535168398115,1.8088186207813888,3.2235147570080813,0.001266277738101485
Neither.agree.nor.disagree.Somewhat.agree,9.038607077876293,2.545287656495626,3.551114175566594,3.836039664158389e-4
Somewhat.agree.Strongly.agree,14.474175780707652,4.096370375428474,3.5334148170607436,4.1022826192087117e-4
prior_ai_experienceMinimal.experience,0.11403941669221479,0.7891706329524963,0.14450539836430953,0.885101393915852
prior_ai_experienceSome.experience,0.9054146713570776,0.8711318215328945,1.0393543766589275,0.2986399541016774
prior_ai_experienceExtensive.experience,6.702009752526016,3.567864606687138,1.8784372422553948,0.06032137478500022
ai_awareness_score,0.2359455028846228,0.4062484831060403,0.580791098789249,0.5613812549348791
ai_comfort_score,3.6773642271081806,1.0456686040229406,3.5167587636852335,4.3685061694530443e-4
ai_comfort_score.1,0.27151228998727756,0.09638897379183883,2.8168397204189994,0.0048498721855183636
