model,n,number_of_parameters,log_likelihood,AIC,BIC,convergence_code,convergence_message,maximum_absolute_gradient,hessian_condition_number,link
Null model,170,4,-238.55355073493737,485.10710146987475,497.6502952180758,0,Absolute and relative convergence criteria were met,7.915590405360717e-11,17.737624655363327,logit
Background model,170,8,-218.8798001107954,453.7596002215908,478.8459877179929,0,Absolute and relative convergence criteria were met,1.0001410810644984e-10,182.3161423359309,logit
Comfort-added model,170,9,-173.66838799204402,365.33677598408804,393.5589619175404,0,Absolute and relative convergence criteria were met,3.3862634918335743e-12,744.6665211094003,logit
Full candidate model,170,10,-173.59975606596743,367.19951213193485,398.55749650243746,0,Absolute and relative convergence criteria were met,3.1332852978849246e-12,745.7071264661045,logit
Teaching-adjusted model,170,13,-173.4111090061786,372.8222180123572,413.5875976940106,0,Absolute and relative convergence criteria were met,2.922995179233112e-12,978.4970407697152,logit
Awareness-factor model,170,11,-172.41294858479898,366.82589716959797,401.3196799771508,0,Absolute and relative convergence criteria were met,3.4697938966488096e-12,708.4093889956533,logit
Comfort-factor model,170,13,-172.3227897684589,370.6455795369178,411.4109592185712,0,Absolute and relative convergence criteria were met,1.0120998483742483e-10,966.3879528568908,logit
Three-item-composite model,170,10,-173.29520310959506,366.59040621919013,397.94839058969274,0,Absolute and relative convergence criteria were met,2.6265378760825797e-12,742.7136005627747,logit
Probit model,170,10,-180.51562466643028,381.03124933286057,412.3892337033632,0,Absolute and relative convergence criteria were met,7.394085344003543e-14,679.9925095694683,probit
