comparison,model,no.par,AIC,logLik,LR.stat,df,Pr(>Chisq)
Final scale model versus feedback-added scale model,model_comfort_scale,10,359.2287039380805,-169.61435196904026,NA,NA,NA
Final scale model versus feedback-added scale model,model_primary_comfort_scale,11,361.21789400393544,-169.60894700196772,0.010809934145072475,1,0.9171924948747835
